,type,edition,subpanel_code,budget_numeric,duration_numeric,coinvestigators_numeric
0,PRELUDIUM,1,HS1,19500,12,2
1,PRELUDIUM,1,HS1,27794,12,2
2,PRELUDIUM,1,HS1,49100,30,2
3,PRELUDIUM,1,HS1,50025,30,2
4,PRELUDIUM,1,HS1,8375,12,2
5,PRELUDIUM,1,HS1,38027,12,2
6,PRELUDIUM,1,HS1,26500,24,2
7,PRELUDIUM,1,HS1,112245,22,2
8,PRELUDIUM,1,HS1,43125,36,2
9,PRELUDIUM,1,HS1,23000,24,2
10,PRELUDIUM,1,HS1,46400,24,2
11,PRELUDIUM,1,HS1,28600,24,2
12,PRELUDIUM,1,HS1,39600,24,2
13,PRELUDIUM,1,HS2,43928,26,2
14,PRELUDIUM,1,HS2,42620,36,2
15,PRELUDIUM,1,HS2,18000,11,2
16,PRELUDIUM,1,HS2,23960,12,2
17,PRELUDIUM,1,HS2,55447,24,2
18,PRELUDIUM,1,HS2,57000,24,2
19,PRELUDIUM,1,HS2,79738,24,2
20,PRELUDIUM,1,HS2,19849,24,2
21,PRELUDIUM,1,HS2,39780,18,2
22,PRELUDIUM,1,HS2,45297,12,2
23,PRELUDIUM,1,HS2,105754,36,2
24,PRELUDIUM,1,HS2,35000,24,2
25,PRELUDIUM,1,HS2,32025,20,2
26,PRELUDIUM,1,HS2,32150,18,2
27,PRELUDIUM,1,HS2,67600,27,1
28,PRELUDIUM,1,HS2,153100,24,2
29,PRELUDIUM,1,HS2,165600,36,8
30,PRELUDIUM,1,HS2,51680,34,15
31,PRELUDIUM,1,HS2,29000,30,2
32,PRELUDIUM,1,HS2,72120,36,2
33,PRELUDIUM,1,HS2,45240,18,2
34,PRELUDIUM,1,HS2,53195,34,2
35,PRELUDIUM,1,HS2,48900,24,2
36,PRELUDIUM,1,HS2,74505,36,2
37,PRELUDIUM,1,HS2,81565,36,5
38,PRELUDIUM,1,HS2,37040,36,2
39,PRELUDIUM,1,HS2,47336,20,2
40,PRELUDIUM,1,HS2,39260,17,2
41,PRELUDIUM,1,HS2,40000,17,2
42,PRELUDIUM,1,HS2,15640,10,2
43,PRELUDIUM,1,HS2,22300,21,2
44,PRELUDIUM,1,HS2,39500,24,3
45,PRELUDIUM,1,HS2,20411,18,2
46,PRELUDIUM,1,HS2,73290,24,2
47,PRELUDIUM,1,HS2,15500,30,2
48,PRELUDIUM,1,HS2,25560,24,1
49,PRELUDIUM,1,HS3,115846,34,2
50,PRELUDIUM,1,HS3,61685,9,3
51,PRELUDIUM,1,HS3,33933,24,2
52,PRELUDIUM,1,HS3,21708,17,2
53,PRELUDIUM,1,HS3,238850,36,9
54,PRELUDIUM,1,HS3,36120,29,2
55,PRELUDIUM,1,HS3,46400,36,2
56,PRELUDIUM,1,HS3,29000,30,2
57,PRELUDIUM,1,HS3,31475,20,2
58,PRELUDIUM,1,HS3,133292,36,4
59,PRELUDIUM,1,HS3,23820,12,2
60,PRELUDIUM,1,HS3,77528,16,4
61,PRELUDIUM,1,HS3,21428,24,2
62,PRELUDIUM,1,HS3,84240,24,2
63,PRELUDIUM,1,HS3,18850,12,2
64,PRELUDIUM,1,HS3,85800,36,2
65,PRELUDIUM,1,HS3,78000,36,2
66,PRELUDIUM,1,HS3,95175,36,2
67,PRELUDIUM,1,HS3,11100,12,2
68,PRELUDIUM,1,HS3,65300,19,1
69,PRELUDIUM,1,HS3,84067,24,4
70,PRELUDIUM,1,HS3,118408,22,2
71,PRELUDIUM,1,HS4,36000,15,2
72,PRELUDIUM,1,HS4,32550,12,2
73,PRELUDIUM,1,HS4,36000,15,2
74,PRELUDIUM,1,HS4,72670,26,5
75,PRELUDIUM,1,HS4,38350,24,2
76,PRELUDIUM,1,HS4,39968,30,2
77,PRELUDIUM,1,HS4,74240,24,2
78,PRELUDIUM,1,HS4,43550,11,2
79,PRELUDIUM,1,HS4,23280,15,2
80,PRELUDIUM,1,HS4,48100,30,2
81,PRELUDIUM,1,HS4,65750,24,2
82,PRELUDIUM,1,HS4,77420,36,2
83,PRELUDIUM,1,HS4,39900,21,2
84,PRELUDIUM,1,HS4,41040,24,2
85,PRELUDIUM,1,HS4,57500,24,2
86,PRELUDIUM,1,HS4,112230,30,3
87,PRELUDIUM,1,HS4,62067,20,2
88,PRELUDIUM,1,HS4,41615,18,2
89,PRELUDIUM,1,HS4,93000,36,1
90,PRELUDIUM,1,HS4,29250,18,2
91,PRELUDIUM,1,HS4,74805,24,2
92,PRELUDIUM,1,HS4,64270,24,2
93,PRELUDIUM,1,HS4,25780,12,2
94,PRELUDIUM,1,HS4,52750,18,2
95,PRELUDIUM,1,HS4,66625,18,2
96,PRELUDIUM,1,HS4,28375,15,2
97,PRELUDIUM,1,HS4,160700,18,2
98,PRELUDIUM,1,HS4,32100,20,1
99,PRELUDIUM,1,HS4,39500,24,1
