Id,Descriptors
2011/01/N/HS6/02370,HS6_1
2011/01/N/HS6/03897,HS6_14
2011/01/N/HS6/03897,HS6_16
2011/01/N/HS4/01423,HS4_4
2011/01/N/HS4/01423,HS4_5
2011/01/N/HS4/01423,HS4_9
2011/01/N/HS5/01393,HS5_7
2011/01/N/HS5/01393,HS5_2
2011/01/N/HS6/05171,HS2_14
2011/01/N/HS2/00592,HS2_11
2011/01/N/HS2/02832,HS2_14
2011/01/N/HS2/02832,HS2_13
2011/01/N/HS2/02832,HS2_12
2011/01/N/HS5/05361,HS5_7
2011/01/N/HS6/02286,HS6_3
2011/01/N/HS5/04505,HS5_9
2011/01/N/HS4/05989,HS4_14
2011/01/N/HS4/05989,HS5_8
2011/01/N/HS4/05989,HS6_20
2011/01/N/HS2/02308,HS2_9
2011/01/N/HS4/03105,HS4_3
2011/01/N/HS4/03105,HS4_6
2011/01/N/HS4/03105,ST1_16
2011/01/N/HS3/02735,HS3_8
2011/01/N/HS6/02530,HS6_15
2011/01/N/HS6/02530,HS6_17
2011/01/N/HS6/02530,HS6_16
2011/01/N/HS2/01720,HS2_8
2011/01/N/HS3/02176,HS1_10
2011/01/N/HS3/02176,HS5_6
2011/01/N/HS3/02176,HS4_10
2011/01/N/HS4/03243,HS4_15
2011/01/N/HS5/03672,HS5_3
2011/01/N/HS5/03672,HS5_7
2011/01/N/HS3/01102,HS3_1
2011/01/N/HS3/01102,HS3_3
2011/01/N/HS2/02105,HS2_6
2011/01/N/HS4/05614,HS4_8
2011/01/N/HS4/05614,HS4_7
2011/01/N/HS4/06248,HS4_9
2011/01/N/HS2/01068,HS2_4
2011/01/N/HS5/02523,HS5_3
2011/01/N/HS6/04086,HS6_1
2011/01/N/HS6/04086,HS6_5
2011/01/N/HS6/04086,HS6_3
2011/01/N/HS6/05095,HS6_16
2011/01/N/HS6/05095,HS2_14
2011/03/N/HS6/01051,HS6_5
2011/03/N/HS1/04592,HS5_6
2011/03/N/HS1/04592,HS2_14
2011/03/N/HS1/04592,HS1_9
2011/03/N/HS2/00890,HS3_5
2011/03/N/HS2/00890,HS2_1
2011/03/N/HS2/00890,HS2_8
2011/03/N/HS2/01724,HS2_1
2011/03/N/HS2/01724,HS2_2
2011/03/N/HS2/01800,HS2_8
2011/03/N/HS2/01800,HS2_14
2011/03/N/HS2/01936,HS2_9
2011/03/N/HS2/01936,ST6_10
2011/03/N/HS2/01936,ST8_4
2011/03/N/HS2/06236,HS2_13
2011/03/N/HS2/06236,HS2_8
2011/03/N/HS2/06236,HS1_5
2011/03/N/HS3/00936,HS3_10
2011/03/N/HS3/00936,HS5_1
2011/03/N/HS3/01273,HS3_1
2011/03/N/HS3/01288,HS3_11
2011/03/N/HS3/01288,HS3_2
2011/03/N/HS3/01288,HS1_3
2011/03/N/HS4/00428,HS4_5
2011/03/N/HS4/00428,HS4_2
2011/03/N/HS4/00429,HS4_8
2011/03/N/HS4/00429,HS4_12
2011/03/N/HS4/00429,HS4_7
2011/03/N/HS4/01923,HS4_3
2011/03/N/HS4/03855,HS4_13
2011/03/N/HS4/03855,HS4_5
2011/03/N/HS4/03855,HS5_8
2011/03/N/HS5/03725,HS5_5
2011/03/N/HS6/01906,HS6_16
2011/03/N/HS6/01906,HS6_15
2011/03/N/HS6/01906,HS6_20
2011/03/N/HS6/02241,HS6_4
2011/03/N/HS6/02241,HS6_5
2011/03/N/HS6/02312,HS6_2
2011/03/N/HS6/03832,HS6_1
2011/03/N/HS6/03832,HS6_2
2011/03/N/HS6/04744,HS6_18
2011/03/N/HS6/04744,HS6_14
2012/05/N/HS1/02914,HS1_6
2012/05/N/HS1/02914,HS1_3
2012/05/N/HS1/03256,HS1_1
