id,type,edition,subpanel,budget,duration,coinvestigators,title,magazines publications,book publications,post-conference publications,equipment,equipment cost,equipment count,sex,manager,managers title,unit,voivodeship
2011/01/N/HS1/00761,PRELUDIUM,1,HS1,19500,12,2,"""Keter malchut"" Szlomo ben Jehudy ibn Gabirola w kontekście kulturowym i filozoficznym XI wieku w Andaluzji.",0,1,0,,0,0,1,Łukasz Stypuła,mgr,"Uniwersytet Jagielloński",małopolskie
2011/01/N/HS1/00856,PRELUDIUM,1,HS1,27794,12,2,Rola religii w kształtowaniu tożsamości polskich muzułmanek w kontekście sporu o islam w Europie.,1,3,0,Nie dotyczy.,0,1,0,Monika Ryszewska,mgr,"Uniwersytet Mikołaja Kopernika",kujawsko-pomorskie
2011/01/N/HS1/00960,PRELUDIUM,1,HS1,49100,30,2,Kompozycje warstwowe w Ewangelii Marka,1,0,0,,0,0,1,Marcin Moj,mgr,"Uniwersytet Śląski",śląskie
2011/01/N/HS1/00985,PRELUDIUM,1,HS1,50025,30,2,Świadectwo Ojca w czwartej Ewangelii. Studium egzegetyczno-teologiczne.,1,0,0,,0,0,1,Dawid Ledwoń,mgr,"Uniwersytet Śląski",śląskie
2011/01/N/HS1/01942,PRELUDIUM,1,HS1,8375,12,2,Teologiczno - moralny aspekt depresji.,1,0,0,Brak aparatury,0,1,0,Magdalena Kosowska,mgr,"Uniwersytet Papieski Jana Pawła II w Krakowie",małopolskie
2011/01/N/HS1/01952,PRELUDIUM,1,HS1,38027,12,2,"Etyka wrażliwości jako dążenie do egalitaryzmu. Studium filozofii Richarda Rorty""ego.",0,1,0,"Skaner ręczny C-Pen 3.0, Dysk zewnętrzny PQI Dysk HDD H55, Netbook DELL INSPIRON MINI 1018",1079,3,0,Anna Markiewicz,dr,"Uniwersytet Papieski Jana Pawła II w Krakowie",małopolskie
2011/01/N/HS1/01959,PRELUDIUM,1,HS1,26500,24,2,Formacja kapłańska w myśli i działalności Zgromadzenia Zmartwychwstania Pańskiego,1,1,0,Laptop Toshiba Satellite L735,2477,1,1,Wojciech Mleczko,dr,"Uniwersytet Papieski Jana Pawła II w Krakowie",małopolskie
2011/01/N/HS1/01979,PRELUDIUM,1,HS1,112245,22,2,Systemy dedukcyjne oraz problem rozstrzygalności dla logik hybrydowych,3,1,3,Laptop Lenovo IdeaPad Y570,3499,1,1,Michał Zawidzki,dr,"Uniwersytet Łódzki",łódzkie
2011/01/N/HS1/01987,PRELUDIUM,1,HS1,43125,36,2,"Aspekty teologiczne, etyczne i prawne sprzeciwu sumienia farmaceutów.",1,1,1,,0,0,0,Małgorzata Prusak,dr,"Uniwersytet Warmińsko-Mazurski w Olsztynie",warmińsko-mazurskie
2011/01/N/HS1/02667,PRELUDIUM,1,HS1,23000,24,2,Miejsce druidyzmu w krajobrazie religijnym współczesnej Europy,3,3,0,,0,0,1,Adam Anczyk,dr,"Instytut Medycyny Pracy i Zdrowia Środowiskowego",śląskie
2011/01/N/HS1/04410,PRELUDIUM,1,HS1,46400,24,2,"Przygotowanie edycji krytycznej Jana Burydana ""Quaestiones super >>Parva naturalia<< Aristotelis"".",1,4,0,,0,0,1,Maciej Stanek,mgr,"Katolicki Uniwersytet Lubelski",lubelskie
2011/01/N/HS1/04432,PRELUDIUM,1,HS1,28600,24,2,"Edycja krytyczna ""Quaestiones In >>Metaphysicen<< Aristotelis"" Jana Burydana (VII księga).",0,4,0,Laptop Samsung NP300V5A-SOAPL,0,1,0,Monika Mansfeld,mgr,"Katolicki Uniwersytet Lubelski",lubelskie
2011/01/N/HS1/04593,PRELUDIUM,1,HS1,39600,24,2,"Przygotowanie edycji krytycznej trzeciej części (qu.11-15) komentarza Marsyliusza z Inghen do trzeciej księgi ""Sentencji"" Piotra Lombarda.",0,4,0,Laptop Samsung NP300E7A,0,1,1,Romuald Żurek,mgr,"Katolicki Uniwersytet Lubelski",lubelskie
2011/01/N/HS2/00510,PRELUDIUM,1,HS2,43928,26,2,Polska eseistyka o malarstwie i fotografii od drugiej połowy XX wieku jako projekt estetyczny i epistemologiczny,2,4,0,"Przenośny komputer HP Probook 4330s z oprogramowaniem Microsoft Office 2010 Home and Student, Drukarka HP DeskJet Ink Advantage K209a, Skaner ręczny Scanline MT 4090 z ładowarką i kompletem akumulatorów",3745,3,0,Dobrawa Lisak-Gębala,mgr,"Uniwersytet Wrocławski",dolnośląskie
2011/01/N/HS2/00592,PRELUDIUM,1,HS2,42620,36,2,Relacje słowno-muzyczne w twórczości Ludwiga van Beethovena w kontekście teorii i estetyki muzyki XVIII wieku,2,4,0,Komputer przenośny HP ProBook 4320S,2895,1,0,Małgorzata Grajter,dr,"Akademia Muzyczna w Łodzi",łódzkie
2011/01/N/HS2/00704,PRELUDIUM,1,HS2,18000,11,2,Rola transferu językowego w nauczaniu języka polskiego studentów polonistyki w Lublanie,1,0,0,"drukarka Brother HL-3040CN, Komputer Sony Vaio Y E-450/4GB/500/7HP",2952,2,0,Katarzyna Bednarska,mgr,"Uniwersytet Łódzki",łódzkie
2011/01/N/HS2/00851,PRELUDIUM,1,HS2,23960,12,2,Doświadczenie roku 1968 w czeskiej literaturze emigracyjnej.,2,0,1,,0,0,0,Urszula Kowalska,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu",wielkopolskie
2011/01/N/HS2/01062,PRELUDIUM,1,HS2,55447,24,2,Zautomatyzowane systemy informacyjne dotyczące orzecznictwa sądowego. Analiza modelowa,5,0,3,,0,0,0,Honorata Zarębska,dr,"Uniwersytet Śląski",śląskie
2011/01/N/HS2/01068,PRELUDIUM,1,HS2,57000,24,2,Normalizacja europejska w zakresie informacji naukowej i technologii informacyjno-komunikacyjnych,3,1,1,,0,0,0,Anna Matysek,dr,"Uniwersytet Śląski",śląskie
2011/01/N/HS2/01301,PRELUDIUM,1,HS2,79738,24,2,Barokowi malarze porcelany i szkła w służbie wrocławskich kolekcjonerów pierwszej połowy XVIII wieku,1,0,0,,0,0,0,Monika Żernik,mgr,"Uniwersytet Wrocławski",dolnośląskie
2011/01/N/HS2/01343,PRELUDIUM,1,HS2,19849,24,2,"Analiza językowa i stylistyczna przekładu łacińskiego ""In calumniatorem Platonis"" kardynała Bessariona",1,0,0,,0,0,0,Maria Jakubowska,mgr,"Uniwersytet Warszawski",mazowieckie
2011/01/N/HS2/01720,PRELUDIUM,1,HS2,39780,18,2,"Obraz sztuki średniowiecznej w polskim piśmiennictwie, grafice i malarstwie epoki nowożytnej",1,2,1,,0,0,0,Kinga Blaschke,mgr,"Uniwersytet Jagielloński",małopolskie
2011/01/N/HS2/01820,PRELUDIUM,1,HS2,45297,12,2,"Najstarszy zachowany manuskrypt buddyjskiego tekstu sanskryckiego pt. Mahawastu - edycja dyplomatyczna wraz z komentarzem gramatycznym i paleograficznym oraz porównanie z wybranymi, późniejszymi manuskryptami tekstu",0,1,0,Notebook Asus,2041,1,0,Katarzyna Marciniak,mgr,"Uniwersytet Warszawski",mazowieckie
2011/01/N/HS2/02038,PRELUDIUM,1,HS2,105754,36,2,Baudrillard - Teoria - Literatura (Znaczenie myśli Jeana Baudrillarda dla współczesnego literaturoznawstwa),4,2,0,,0,0,1,Michał Kłosiński,mgr,"Uniwersytet Śląski",śląskie
2011/01/N/HS2/02103,PRELUDIUM,1,HS2,35000,24,2,Dziecko i jego aktywność zabawowa jako motyw we wczesnonowożytnej literaturze niderlandzkiej na podstawie wybranych tekstów kulturowych,2,3,0,,0,0,0,Joanna Kozikowska,mgr,"Uniwersytet Wrocławski",dolnośląskie
2011/01/N/HS2/02105,PRELUDIUM,1,HS2,32025,20,2,Językowe mechanizmy dyskryminacji ze względu na rasę,2,0,0,,0,0,0,Margaret Ohia,mgr,"Uniwersytet Wrocławski",dolnośląskie
2011/01/N/HS2/02108,PRELUDIUM,1,HS2,32150,18,2,"""Claudii Salmasii, eruditorum principis, vita"" Filiberta de la Mare. Wydanie krytyczne ze wstępem i komentarzem.",2,0,0,Czytnik elektroniczny,0,1,1,Antoine Haaker,mgr,"Uniwersytet Wrocławski",dolnośląskie
2011/01/N/HS2/02157,PRELUDIUM,1,HS2,67600,27,1,Dzieciństwo jako rosyjski temat kulturowy w XX wieku,1,7,1,,0,0,0,Anna Kadykało,dr,"Uniwersytet Jagielloński",małopolskie
2011/01/N/HS2/02295,PRELUDIUM,1,HS2,153100,24,2,Zastosowanie cyfrowych modeli przestrzennych w ochronie i kształtowaniu krajobrazu.,2,1,1,"tablet (2 szt.), aparat cyfrowy, wyświetlacz nagłowny (2 szt.), Smartfon, moduł GPS do aparatu cyfrowego",24257,5,1,Jacek Konopacki,mgr inż.,"Politechnika Krakowska",małopolskie
2011/01/N/HS2/02308,PRELUDIUM,1,HS2,165600,36,8,Badania nad zastosowaniem preparatu Bookkepper do odkwaszania malarstwa olejnego na papierze,2,1,0,"komputer Lenovo ThinkPad T520 NW64FPB84, -, drukarka laserowa kolorowa Canon i-Sensys LBP7200Cdn",5702,3,0,Anna Nowicka,mgr,"Akademia Sztuk Pięknych w Warszawie",mazowieckie
2011/01/N/HS2/02369,PRELUDIUM,1,HS2,51680,34,15,Ciało i proteza w tekstach współczesnej kultury,1,3,0,,0,0,0,Agata Rosochacka,mgr,"Uniwersytet im. Adama Mickiewicza w Poznaniu",wielkopolskie
2011/01/N/HS2/02503,PRELUDIUM,1,HS2,29000,30,2,Figura kobieca w tekstach pieśni ludów nahua oraz udział kobiet w tworzeniu poezji śpiewanej w epoce prehiszpańskiej i kolonialnej w Centralnym Meksyku.,2,3,0,,0,0,0,Katarzyna Szoblik,dr,"Akademia Techniczno-Humanistyczna",śląskie
2011/01/N/HS2/02832,PRELUDIUM,1,HS2,72120,36,2,Cierpienie i śmierć jako współczesne widowisko medialne. Perspektywa performatyczna.,0,1,0,komputer przenośny,2337,1,0,Ewa Jeleń-Kubalewska,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu",wielkopolskie
2011/01/N/HS2/03017,PRELUDIUM,1,HS2,45240,18,2,Katalog dolnośląskich portali renesansowych,0,1,0,,0,0,1,Jakub Jagiełło,mgr,"Uniwersytet Warszawski",mazowieckie
2011/01/N/HS2/03030,PRELUDIUM,1,HS2,53195,34,2,Redefinicje gatunku fantasy w grach cyfrowych,1,3,1,"Drukarka laserowa, Konsola Sony PSP, Konsola Sony Nintendo 3DS, Zestaw komputerowy z ekranem LCD 22"" i kontrolerami, Xbox 360 z kontrolerem Kinect, Konsola Sony Playstation 3 z kontrolerem Playstation Move i kamerą Eye, Telewizor HD 40""",13964,7,0,Maria Garda,mgr,"Uniwersytet Łódzki",łódzkie
2011/01/N/HS2/03256,PRELUDIUM,1,HS2,48900,24,2,Płeć i naród. Kultura społecznej zmiany w Polsce po 1989 roku,1,3,1,Dyktafon OLYMPUS WS-750M,399,1,0,Agnieszka Mrozik,mgr,"Instytut Badań Literackich PAN",mazowieckie
2011/01/N/HS2/03305,PRELUDIUM,1,HS2,74505,36,2,Julia Dickstein-Wieleżyńska (1881-1943). Monografia dokumentacyjna,2,0,3,"Drukarka laserowa HP LaserJet P1102w, Aparat cyfrowy Canon Powershot A3000 IS ze statywem",858,2,0,Mariola Wilczak,mgr,"Instytut Badań Literackich PAN",mazowieckie
2011/01/N/HS2/03403,PRELUDIUM,1,HS2,81565,36,5,Badanie i opracowanie zapraw iniekcyjnych do konserwacji odspojonych malowideł ściennych na podłożu wapiennym,0,0,3,"Waga Vibra AJH-620, Pehametr z wymiennymi elektrodami",11561,2,0,Karina Niedzielska,mgr,"Akademia Sztuk Pięknych w Warszawie",małopolskie
